2 séances par semaine;lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche
VMA 18 et +;jogg 50' +5x100-100;Fractionné;x;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;Jogg 50';x;x;x;Jogg 50' +5x100-100 ou 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;Fractionné;x;x;x;jogg 1h30 avec 6';x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' +5x100-100;Fractionné;x;x;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;Jogg 50' +10x100-100;x;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';Jogg 50' +10x100-100;x;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';jogg 50' +10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;x;x;Fractionné;x
VMA 18 et +;jogg 50' +5x100-100;Fractionné;x;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;Jogg 50';x;x;x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;jogg 1h30;x;x;x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;Fractionné;x;x;x;x;jogg 1h30
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' +5x100-100;Fractionné;x;x;x;x;Jogg 50'
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';Jogg 50' +5x100-100 ou jogg 1h30;x;x;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';Jogg 50' +5x100-100;x;x;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;Jogg 50';x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;Jogg 1h30;x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;Jogg 50';x;jogg 50' +10x100-100 ou jogg 1h30 avec 6';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' +5x100-100;x;Fractionné;x;Jogg 50';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' +5x100-100 ou jogg 1h30;x;Fractionné;x;Jogg 50';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;x;Fractionné;x;jogg 1h30;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;Jogg 50' +5x100-100;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' +10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;Jogg 50' +5x100-100;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +10x100-100;x;Jogg 1h30;x;Fractionné;x;x
VMA 18 et + ;Fractionné;x;Jogg 50';x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;Jogg 50';x;x;Jogg 50' +5x100-100 ou sortie longue de 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;Jogg 1h30;x;x;Jogg 50'+5x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50';x;Fractionné;x;x;Jogg 50' +10x100-100 ou 1h30 (60% VMA) avec 6' une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;x;Fractionné;x;x;Jogg 50' +10x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;Jogg 50' +10x100-100;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;Jogg 50' +10x100-100 ou 1h3 avec 6';x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;x;Jogg 50' +10x100-100;x;x;Fractionné;x
VMA 18 et +;jogg 1h30;x;Fractionné;x;x;Fractionné;x
VMA 18 et + ;jogg 50';x;Fractionné;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;Jogg 50';x;x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;Jogg 1h30;x;x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' +5x100-100;x;Fractionné;x;x;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;x;Fractionné;x;x;x;Jogg 50' +10x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;Fractionné;x;x;x;Jogg 50' +10x100-100 ou 1h30 (60% VMA)avec 6' une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;Jogg 50' +10x100-100;x;x;x;Fractionné
VMA 18 et + ;jogg 1h30;x;Fractionné;x;x;x;Fractionné
VMA 18 et + ;Jogg 50';x;Fractionné;x;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;Jogg 50';x;Jogg 50' +5x100-100 ou 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;jogg 1h30 avec 6';x;Jogg 50' +5x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;Jogg 50' +10x100-100;x;jogg 1h30;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +10x100-100;x;x;Fractionné;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 50' +10x100-100 ou jogg 1h30 avec 6' marathon au bout de 50';x;x;Fractionné;x;Jogg 50';x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +10x100-100;x;x;Fractionné;x;jogg 1h30;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;x;Jogg 50' +5x100-100;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;x;jogg 1h30;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;x;x;Jogg 50' +5x100-100;x;Fractionné;x
VMA 18 et +;Fractionné;x;x;Fractionné;x;jogg 1h30;x
VMA 18 et + ;Fractionné;x;x;Fractionné;x;Jogg 50';x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;Jogg 50';x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;jogg 1h30 avec 6';x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +10x100-100;x;x;Fractionné;x;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30 avec 6' marathon au bout de 50';x;x;Fractionné;x;x;Jogg 50' +10x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;x;Jogg 50' +10x100-100;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;x;x;Jogg 50' +10x100-100;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;x;Jogg 50' +10x100-100 ou jogg 1h30 avec 6';x;x;Fractionné
VMA 18 et + ;Fractionné;x;x;Fractionné;x;x;Jogg 50' +5x100-100
VMA 18 et +;jogg 1h30;x;x;Fractionné;x;x;Fractionné
VMA 18 et +;Jogg 50';x;x;Fractionné;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;x;Jogg 50';x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;x;x;x;jogg 1h30 avec 6';x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +10x100-100;x;x;x;Fractionné;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30 avec 6' marathon au bout de 50';x;x;x;Fractionné;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;x;x;Jogg 50' +5x100-100;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;jogg 1h30;x;x;x;Jogg 50' +5x100-100;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';x;x;x;jogg 50' +5x100-100 ou jogg 1h30;x;Fractionné
VMA 18 et + ;Fractionné;x;x;x;Fractionné;x;Jogg 50'
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 50';x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 50';x;jogg 50' +10x100-100 ou jogg 1h30 avec 6';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 1h30;x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' +5x100-100;Fractionné;x;Jogg 50';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' +5x100-100;Fractionné;x;jogg 1h30;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30;Jogg 50' +5x100-100;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';Jogg 50' +5x100-100 ou jogg 1h30;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';Jogg 50' +5x100-100;x;Fractionné;x;x
VMA 18 et + ;x;Fractionné;Jogg 50';x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 50';x;x;Jogg 50' +10x100-100 ou sortie longue de 1h30 (60% VMA) avec 6' une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 1h30;x;x;Jogg 50' +10x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' +5x100-100;Fractionné;x;x;Jogg 50' +10x100-100 ou 1h30 (60% VMA) avec 6' une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' +5x100-100;Fractionné;x;x;jogg 1h30 avec 6';x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +10x100-100;Jogg 1h30;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30;Jogg 50' +10x100-100;x;x;Fractionné;x
VMA 18 et + ;x;Fractionné;Jogg 50';x;x;Fractionné;x
VMA 18 et +;x;Fractionné;Jogg 1h30;x;x;Fractionné;x
VMA 18 et +;x;jogg 50' +5x100-100;Fractionné;x;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 50';x;x;x;Jogg 50'+5x100-100 ou sortie longue 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;Jogg 1h30;x;x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' +5x100-100;Fractionné;x;x;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +5x100-100;Fractionné;x;x;x;jogg 1h30 avec 6'
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';Jogg 50' +10x100-100 ou jogg 1h30 avec 6';x;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30;Jogg 50' +10x100-100;x;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';Jogg 50' +10x100-100;x;x;x;Fractionné
VMA 18 et + ;x;Jogg 50';Fractionné;x;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;Jogg 50';x;Jogg 50' +10x100-100 ou 1h30 (60% VMA)avec 6'  une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;jogg 1h30;x;Jogg 50' +10x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' +5x100-100;x;Fractionné;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30;x;Fractionné;x;Jogg 50' +5x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30 avec 6';x;Jogg 50' +5x100-100;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';x;Jogg 50' +5x100-100 ou jogg 1h30;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';x;Jogg 50' +5x100-100;x;Fractionné;x
VMA 18 et + ;x;Fractionné;x;Jogg 50';x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;Jogg 50';x;x;Jogg 50'+5x100-100 ou sortie longue 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;jogg 1h30;x;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30;x;Fractionné;x;x;Jogg 50' +10x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30;x;Fractionné;x;x;Jogg 50' +10x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 50' +5x100-100;x;Fractionné;x;x;Jogg 50' +10x100-100 ou 1h30 (60% VMA)avec 6' une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30;x;Jogg 50' +10x100-100;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';x;Jogg 50' +10x100-100 ou jogg 1h30 avec 6';x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';x;Jogg 50' +10x100-100;x;x;Fractionné
VMA 18 et +;x;Jogg 50' +5x100-100 ou jogg 1h30;x;Fractionné;x;x;Fractionné
VMA 18 et + ;x;Jogg 50' +5x100-100;x;Fractionné;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;x;Jogg 50';x;Jogg 50'+5x100-100 ou sortie longue 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Fractionné;x;x;jogg 1h30 avec 6';x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30 avec 6';x;x;Fractionné;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50' +10x100-100;x;x;Fractionné;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;jogg 1h30;x;x;Jogg 50'+5x100-100;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';x;x;jogg 1h30;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;Jogg 50';x;x;Jogg 50'+5x100-100;x;Fractionné
VMA 18 et +;x;Fractionné;x;x;Fractionné;x;jogg 1h30
VMA 18 et + ;x;Fractionné;x;x;Fractionné;x;Jogg 50'
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Fractionné;Jogg 50';x;Jogg 50' +10x100-100 ou 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Fractionné;jogg 1h30;x;Jogg 50' +10x100-100;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;jogg 50' +5x100-100;Fractionné;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 1h30;Jogg 50'+5x100-100;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 50';Jogg 50' +5x100-100 ou jogg 1h30;x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 50';Jogg 50' +5x100-100;x;Fractionné;x
VMA 18 et + ;x;x;Fractionné;Jogg 50';x;Fractionné;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Fractionné;Jogg 50';x;x;Jogg 50' +10x100-100 ou 1h30 (60% VMA)avec 6' une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Fractionné;jogg 1h30;x;x;Jogg 50' +10x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;jogg 50' +5x100-100;Fractionné;x;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;jogg 50' +5x100-100;Fractionné;x;x;jogg 1h30 avec 6'
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 50';Jogg 50' +10x100-100 ou jogg 1h30 avec 6';x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 1h30;Jogg 50' +10x100-100;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 50';Jogg 50' +10x100-100;x;x;Fractionné
VMA 18 et + ;x;x;Fractionné;Jogg 50';x;x;Fractionné
VMA 18 et +;x;x;jogg 50' +5x100-100;Fractionné;x;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Fractionné;x;Jogg 50';x;Jogg 50' +10x100-100 ou 1h30 (60% VMA) avec 6' une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Fractionné;x;jogg 1h30;x;Jogg 50' +10x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;jogg 50' +5x100-100;x;Fractionné;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 1h30;x;Fractionné;x;Jogg 50' +5x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 50' +10x100-100;x;jogg 1h30;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 1h30 avec 6';x;Jogg 50' +5x100-100;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;Jogg 50';x;Jogg 50' +5x100-100;x;Fractionné
VMA 18 et + ;x;x;Fractionné;x;Jogg 50';x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;x;Fractionné;Jogg 50';x;Jogg 50' +10x100-100 ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;x;Fractionné;jogg 1h30;x;Jogg 50' +10x100-100
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;x;Jogg 50'+5x100-100;Fractionné;x;Jogg 50' ou 1h30 (60% VMA) une semaine sur 2
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;x;jogg 1h30;Jogg 50' +5x100-100;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;x;Jogg 50';Jogg 50'+5x100-100 ou jogg 1h30;x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;x;x;x;Jogg 50';Jogg 50' +5x100-100;x;Fractionné
VMA 18 et + ;x;x;x;Fractionné;Jogg 50';x;Fractionné
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';Jogg 50' +5x100-100;Fractionné;Jogg 50';x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';Jogg 50' +5x100-100;Fractionné;jogg 1h30;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 1h30;jogg 50' +5x100-100;Fractionné;Jogg 50';x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;Fractionné;Jogg 50';jogg 50' +5x100-100;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;Fractionné;Jogg 1h30;Jogg 50';x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;Fractionné;Jogg 50';jogg 1h30;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;Jogg 50';Jogg 50';jogg 50' +5x100-100;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;jogg 1h30;Jogg 50';Jogg 50' +5x100-100;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;Jogg 50';Jogg 1h30;Jogg 50' +5x100-100;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;Jogg 50';Jogg 50';jogg 1h30 avec 6';x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 1h30;Jogg 50';jogg 50' +5x100-100;Fractionné;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';jogg 1h30;jogg 50' +5x100-100;Fractionné;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';jogg 50';Jogg 50' +5x100-100;Fractionné;x;x;x
VMA 18 et + ;Fractionné;Jogg 50';Jogg 50';Fractionné;x;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';Jogg 50' +5x100-100;Fractionné;x;Jogg 50';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 1h30;jogg 50' +5x100-100;Fractionné;x;Jogg 50';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';jogg 50' +5x100-100;Fractionné;x;jogg 1h30;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;Fractionné;Jogg 1h30;x;Jogg 50';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;Fractionné;Jogg 50';x;jogg 1h30 avec 6';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +5x100-100;Fractionné;Jogg 50';x;Jogg 50';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;Jogg 50';Jogg 50';x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;jogg 1h30;Jogg 50';x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;Jogg 50';Jogg 1h30;x;Jogg 50' +10x100-100;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Fractionné;Jogg 50';Jogg 50';x;jogg 1h30 avec 6';x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';Jogg 50';Jogg 50' +5x100-100;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 1h30 avec 6';Jogg 50';jogg 50' +5x100-100;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';jogg 1h30;Jogg 50' +5x100-100;x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50' +10x100-100;Jogg 50';Jogg 1h30;x;Fractionné;x;x
VMA 18 et + ;Fractionné;Jogg 50';Jogg 50';x;Fractionné;x;x
VMA 18 et +;Fractionné;jogg 1h30;Jogg 50';x;Fractionné;x;x
VMA 18 et +;Fractionné;Jogg 50';Jogg 1h30;x;Fractionné;x;x
VMA 18 et +;Jogg 50' +5x100-100;Fractionné;Jogg 1h30;x;Fractionné;x;x
VMA 18 et +;Jogg 50' +5x100-100;Fractionné;Jogg 50';x;Fractionné;x;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 50';Jogg 50' +5x100-100;Fractionné;x;x;Jogg 50' +10x100-100 ou 1h30 (60% VMA) une semaine sur 2;x
VMA 17,9 et moins ou 18 et + qui ne peuvent que faire un seul fractionné;Jogg 1h30;jogg 50' +5x100-100;Fractionné;x;x;Jogg 50' +10x100-100 ou 1h30 (60% VMA) avec 6' une semaine sur 2;x
